Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ATAX,"America First Multifamily Investors, L.P.",7.17," 433,255,689 ",n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
DLTH,Duluth Holdings Inc.,13.37," 436,569,674 ",n/a,2015,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dlth
AMSWA,"American Software, Inc.",14.05," 437,303,749 ",n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
PRVB,"Provention Bio, Inc.",11.72," 437,877,507 ",n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/prvb
FTAC,FinTech Acquisition Corp. III,9.91," 438,889,125 ",n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/ftac
PVAC,Penn Virginia Corporation,29.06," 438,970,654 ",n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pvac
STNL,Sentinel Energy Services Inc.,10.18," 439,012,500 ",n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/stnl
GBLI,Global Indemnity Limited,30.82," 439,089,242 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/gbli
LOVE,The Lovesac Company,30.26," 439,485,800 ",n/a,2018,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/love
FISI,"Financial Institutions, Inc.",27.54," 440,204,538 ",n/a,1999,Finance,Major Banks,https://www.nasdaq.com/symbol/fisi
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",6.85," 441,518,264 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crbp
OXLC,Oxford Lane Capital Corp.,10.38," 441,646,174 ",n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/oxlc
