As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 29, 2007","1,359.23",100.53,--,"72,300,000.00"
"Oct 26, 2007","1,358.04",100.44,--,"72,300,000.00"
"Oct 25, 2007","1,360.38",100.60,--,"72,300,000.00"
"Oct 24, 2007","1,361.44",100.69,--,"72,000,000.00"
"Oct 23, 2007","1,356.81",100.34,--,"72,000,000.00"
"Oct 22, 2007","1,356.10",100.30,--,"71,500,000.00"
"Oct 19, 2007","1,356.28",100.32,--,"71,500,000.00"
"Oct 18, 2007","1,350.98",99.90,--,"71,000,000.00"
"Oct 17, 2007","1,348.23",99.71,--,"71,000,000.00"
"Oct 16, 2007","1,342.00",99.24,--,"71,000,000.00"
"Oct 15, 2007","1,340.99",99.16,--,"71,000,000.00"
"Oct 12, 2007","1,339.63",99.03,--,"71,000,000.00"
"Oct 11, 2007","1,341.27",99.14,--,"71,000,000.00"
"Oct 10, 2007","1,340.82",99.12,--,"71,000,000.00"
"Oct 09, 2007","1,340.56",99.09,--,"71,000,000.00"
"Oct 08, 2007",--,99.10,--,"71,000,000.00"
"Oct 05, 2007","1,340.04",99.05,--,"71,000,000.00"
"Oct 04, 2007","1,346.73",99.54,--,"71,000,000.00"
"Oct 03, 2007","1,344.98",99.42,--,"71,000,000.00"
"Oct 02, 2007","1,344.92",99.42,--,"71,000,000.00"
"Oct 01, 2007","1,342.84",99.26,0.41,"71,000,000.00"
"Sep 28, 2007","1,341.44",99.57,--,"71,000,000.00"
"Sep 27, 2007","1,342.02",99.60,--,"71,000,000.00"
"Sep 26, 2007","1,338.39",99.33,--,"71,000,000.00"
"Sep 25, 2007","1,338.12",99.33,--,"71,000,000.00"
"Sep 24, 2007","1,337.52",99.30,--,"70,800,000.00"
"Sep 21, 2007","1,336.79",99.24,--,"70,800,000.00"
"Sep 20, 2007","1,333.82",99.01,--,"70,800,000.00"
"Sep 19, 2007","1,342.68",99.66,--,"70,500,000.00"
"Sep 18, 2007","1,342.95",99.70,--,"70,000,000.00"
"Sep 17, 2007","1,339.99",99.48,--,"69,500,000.00"
"Sep 14, 2007","1,339.68",99.45,--,"69,500,000.00"
"Sep 13, 2007","1,338.33",99.37,--,"68,900,000.00"
"Sep 12, 2007","1,342.18",99.65,--,"68,400,000.00"
"Sep 11, 2007","1,345.01",99.85,--,"67,600,000.00"
"Sep 10, 2007","1,348.12",100.07,--,"67,600,000.00"
"Sep 07, 2007","1,345.29",99.87,--,"67,600,000.00"
"Sep 06, 2007","1,336.21",99.20,--,"67,200,000.00"
"Sep 05, 2007","1,337.46",99.31,--,"67,200,000.00"
"Sep 04, 2007","1,331.27",98.84,0.43,"66,900,000.00"
"Aug 31, 2007","1,331.34",99.27,--,"66,900,000.00"
"Aug 30, 2007","1,333.86",99.49,--,"66,900,000.00"
"Aug 29, 2007","1,331.25",99.31,--,"66,900,000.00"
"Aug 28, 2007","1,333.23",99.45,--,"66,900,000.00"
"Aug 27, 2007","1,329.95",99.19,--,"66,900,000.00"
"Aug 24, 2007","1,326.80",99.12,--,"66,400,000.00"
"Aug 23, 2007","1,326.55",98.97,--,"66,200,000.00"
"Aug 22, 2007","1,325.76",98.89,--,"66,200,000.00"
"Aug 21, 2007","1,327.22",99.01,--,"66,200,000.00"
"Aug 20, 2007","1,324.43",98.77,--,"66,200,000.00"
"Aug 17, 2007","1,322.04",98.58,--,"66,200,000.00"
"Aug 16, 2007","1,323.53",98.69,--,"66,200,000.00"
"Aug 15, 2007","1,318.46",98.35,--,"66,200,000.00"
"Aug 14, 2007","1,318.82",98.44,--,"66,200,000.00"
"Aug 13, 2007","1,316.94",98.30,--,"66,200,000.00"
"Aug 10, 2007","1,316.52",98.29,--,"66,200,000.00"
"Aug 09, 2007","1,316.60",98.28,--,"66,200,000.00"
"Aug 08, 2007","1,313.93",98.10,--,"66,200,000.00"
"Aug 07, 2007","1,318.61",98.42,--,"66,200,000.00"
"Aug 06, 2007","1,318.52",98.42,--,"66,200,000.00"
"Aug 03, 2007","1,320.40",98.56,--,"66,200,000.00"
"Aug 02, 2007","1,316.95",98.26,--,"66,200,000.00"
"Aug 01, 2007","1,315.84",98.18,0.43,"65,800,000.00"
"Jul 31, 2007","1,315.22",98.55,--,"65,800,000.00"
"Jul 30, 2007","1,313.10",98.75,--,"65,500,000.00"
"Jul 27, 2007","1,314.59",98.56,--,"65,500,000.00"
"Jul 26, 2007","1,315.92",98.66,--,"65,500,000.00"
"Jul 25, 2007","1,310.97",98.29,--,"65,500,000.00"
"Jul 24, 2007","1,309.33",98.16,--,"65,200,000.00"
"Jul 23, 2007","1,308.95",98.14,--,"65,200,000.00"
"Jul 20, 2007","1,309.25",98.17,--,"65,200,000.00"
"Jul 19, 2007","1,305.93",97.92,--,"65,200,000.00"
"Jul 18, 2007","1,306.95",97.99,--,"65,200,000.00"
"Jul 17, 2007","1,303.13",97.71,--,"64,900,000.00"
"Jul 16, 2007","1,305.56",97.89,--,"64,900,000.00"
"Jul 13, 2007","1,301.78",97.62,--,"64,900,000.00"
"Jul 12, 2007","1,300.91",97.54,--,"64,900,000.00"
"Jul 11, 2007","1,302.82",97.70,--,"64,900,000.00"
"Jul 10, 2007","1,305.17",97.87,--,"64,900,000.00"
"Jul 09, 2007","1,298.61",97.37,--,"64,400,000.00"
"Jul 06, 2007","1,295.97",97.18,--,"64,400,000.00"
"Jul 05, 2007","1,298.66",97.38,--,"63,700,000.00"
"Jul 03, 2007","1,303.99",97.78,--,"63,700,000.00"
"Jul 02, 2007","1,306.57",97.98,0.42,"62,900,000.00"
"Jun 29, 2007","1,304.34",98.21,--,"62,900,000.00"
"Jun 28, 2007","1,299.39",97.84,--,"62,400,000.00"
"Jun 27, 2007","1,301.90",98.03,--,"62,400,000.00"
"Jun 26, 2007","1,300.11",97.89,--,"62,400,000.00"
"Jun 25, 2007","1,301.56",98.00,--,"62,100,000.00"
"Jun 22, 2007","1,297.57",97.70,--,"62,100,000.00"
"Jun 21, 2007","1,295.63",97.55,--,"61,700,000.00"
"Jun 20, 2007","1,298.21",97.75,--,"61,700,000.00"
"Jun 19, 2007","1,301.24",97.97,--,"61,700,000.00"
"Jun 18, 2007","1,297.58",97.69,--,"61,700,000.00"
"Jun 15, 2007","1,295.32",97.53,--,"61,300,000.00"
"Jun 14, 2007","1,291.57",97.26,--,"61,300,000.00"
"Jun 13, 2007","1,291.79",97.28,--,"61,300,000.00"
"Jun 12, 2007","1,288.66",97.06,--,"61,300,000.00"
"Jun 11, 2007","1,295.71",97.58,--,"61,300,000.00"
"Jun 08, 2007","1,295.94",97.59,--,"61,300,000.00"
"Jun 07, 2007","1,296.71",97.67,--,"61,300,000.00"
"Jun 06, 2007","1,304.19",98.25,--,"61,300,000.00"
"Jun 05, 2007","1,303.92",98.24,--,"61,300,000.00"
"Jun 04, 2007","1,306.59",98.44,--,"60,800,000.00"
"Jun 01, 2007","1,304.59",98.30,0.43,"60,300,000.00"
"May 31, 2007","1,308.21",98.99,--,"59,900,000.00"
"May 30, 2007","1,308.72",99.03,--,"59,500,000.00"
"May 29, 2007","1,308.55",99.02,--,"59,500,000.00"
"May 25, 2007","1,309.10",99.06,--,"59,500,000.00"
"May 24, 2007","1,309.28",99.07,--,"59,500,000.00"
"May 23, 2007","1,309.09",99.06,--,"59,500,000.00"
"May 22, 2007","1,310.60",99.18,--,"59,500,000.00"
"May 21, 2007","1,312.80",99.35,--,"59,500,000.00"
"May 18, 2007","1,311.15",99.24,--,"59,500,000.00"
"May 17, 2007","1,313.79",99.43,--,"59,500,000.00"
"May 16, 2007","1,316.31",99.62,--,"59,500,000.00"
"May 15, 2007","1,315.73",99.58,--,"59,100,000.00"
"May 14, 2007","1,316.77",99.66,--,"59,100,000.00"
"May 11, 2007","1,317.15",99.70,--,"58,600,000.00"
"May 10, 2007","1,318.45",99.80,--,"58,600,000.00"
"May 09, 2007","1,317.08",99.69,--,"58,600,000.00"
"May 08, 2007","1,319.32",99.86,--,"58,600,000.00"
"May 07, 2007","1,319.17",99.85,--,"58,600,000.00"
"May 04, 2007","1,318.27",99.78,--,"58,200,000.00"
"May 03, 2007","1,315.94",99.60,--,"58,200,000.00"
"May 02, 2007","1,317.56",99.73,--,"58,200,000.00"
"May 01, 2007","1,317.56",99.72,0.38,"58,200,000.00"
"Apr 30, 2007","1,318.20",100.15,--,"58,200,000.00"
"Apr 27, 2007","1,313.61",99.80,--,"57,700,000.00"
"Apr 26, 2007","1,314.28",99.86,--,"57,700,000.00"
"Apr 25, 2007","1,316.56",100.04,--,"57,700,000.00"
"Apr 24, 2007","1,317.86",100.14,--,"57,700,000.00"
"Apr 23, 2007","1,316.21",100.01,--,"57,700,000.00"
"Apr 20, 2007","1,314.47",99.88,--,"57,700,000.00"
"Apr 19, 2007","1,314.42",99.88,--,"57,700,000.00"
"Apr 18, 2007","1,314.91",99.91,--,"57,300,000.00"
"Apr 17, 2007","1,312.75",99.76,--,"57,300,000.00"
"Apr 16, 2007","1,309.59",99.52,--,"57,300,000.00"
"Apr 13, 2007","1,307.61",99.38,--,"57,300,000.00"
"Apr 12, 2007","1,308.76",99.46,--,"57,300,000.00"
"Apr 11, 2007","1,308.64",99.46,--,"56,900,000.00"
"Apr 10, 2007","1,308.98",99.49,--,"56,900,000.00"
"Apr 09, 2007","1,307.60",99.34,--,"56,900,000.00"
"Apr 05, 2007","1,310.88",99.62,--,"56,400,000.00"
"Apr 04, 2007","1,311.78",99.69,--,"56,400,000.00"
"Apr 03, 2007","1,310.93",99.63,--,"56,000,000.00"
"Apr 02, 2007","1,311.69",99.69,0.39,"56,000,000.00"
"Mar 30, 2007","1,311.13",100.03,--,"56,000,000.00"
"Mar 29, 2007","1,311.72",100.09,--,"56,000,000.00"
"Mar 28, 2007","1,312.35",100.14,--,"56,000,000.00"
"Mar 27, 2007","1,312.78",100.17,--,"56,000,000.00"
"Mar 26, 2007","1,313.73",100.25,--,"56,000,000.00"
"Mar 23, 2007","1,311.95",100.12,--,"56,000,000.00"
"Mar 22, 2007","1,313.38",100.23,--,"56,000,000.00"
"Mar 21, 2007","1,317.00",100.49,--,"56,000,000.00"
"Mar 20, 2007","1,314.39",100.30,--,"56,000,000.00"
"Mar 19, 2007","1,313.18",100.20,--,"56,000,000.00"
"Mar 16, 2007","1,313.67",100.25,--,"56,000,000.00"
"Mar 15, 2007","1,314.16",100.29,--,"55,100,000.00"
"Mar 14, 2007","1,314.61",100.33,--,"55,100,000.00"
"Mar 13, 2007","1,316.20",100.47,--,"54,800,000.00"
"Mar 12, 2007","1,312.75",100.21,--,"54,800,000.00"
"Mar 09, 2007","1,310.39",100.05,--,"54,800,000.00"
"Mar 08, 2007","1,314.91",100.38,--,"54,500,000.00"
"Mar 07, 2007","1,314.95",100.38,--,"54,500,000.00"
"Mar 06, 2007","1,312.86",100.22,--,"54,500,000.00"
"Mar 05, 2007","1,312.81",100.24,--,"54,200,000.00"
"Mar 02, 2007","1,312.77",100.24,--,"53,700,000.00"
"Mar 01, 2007","1,311.06",100.10,0.39,"53,700,000.00"
"Feb 28, 2007","1,311.09",100.50,--,"53,400,000.00"
"Feb 27, 2007","1,313.21",100.67,--,"53,400,000.00"
"Feb 26, 2007","1,307.01",100.21,--,"53,400,000.00"
"Feb 23, 2007","1,304.15",100.00,--,"53,100,000.00"
"Feb 22, 2007","1,301.37",99.78,--,"53,100,000.00"
"Feb 21, 2007","1,303.29",99.93,--,"53,100,000.00"
"Feb 20, 2007","1,303.71",99.97,--,"53,100,000.00"
"Feb 16, 2007","1,302.21",99.86,--,"52,200,000.00"
"Feb 15, 2007","1,301.56",99.80,--,"52,200,000.00"
"Feb 14, 2007","1,299.97",99.67,--,"52,200,000.00"
"Feb 13, 2007","1,294.54",99.27,--,"51,900,000.00"
"Feb 12, 2007","1,294.91",99.31,--,"51,900,000.00"
"Feb 09, 2007","1,295.74",99.38,--,"51,900,000.00"
"Feb 08, 2007","1,298.78",99.60,--,"51,400,000.00"
"Feb 07, 2007","1,298.26",99.56,--,"51,400,000.00"
"Feb 06, 2007","1,296.95",99.45,--,"51,400,000.00"
"Feb 05, 2007","1,294.40",99.27,--,"51,400,000.00"
"Feb 02, 2007","1,292.26",99.10,--,"50,600,000.00"
"Feb 01, 2007","1,290.85",99.01,0.39,"50,600,000.00"
"Jan 31, 2007","1,291.18",99.41,--,"50,600,000.00"
"Jan 30, 2007","1,287.77",99.16,--,"50,600,000.00"
"Jan 29, 2007","1,286.73",99.09,--,"50,500,000.00"
"Jan 26, 2007","1,287.12",99.12,--,"50,200,000.00"
"Jan 25, 2007","1,287.74",99.16,--,"50,200,000.00"
"Jan 24, 2007","1,291.15",99.42,--,"49,800,000.00"
"Jan 23, 2007","1,291.26",99.43,--,"49,800,000.00"
"Jan 22, 2007","1,293.50",99.59,--,"49,700,000.00"
"Jan 19, 2007","1,292.22",99.49,--,"48,900,000.00"
"Jan 18, 2007","1,293.10",99.57,--,"48,900,000.00"
"Jan 17, 2007","1,290.93",99.42,--,"48,900,000.00"
"Jan 16, 2007","1,292.94",99.55,--,"48,900,000.00"
"Jan 12, 2007","1,291.25",99.43,--,"48,900,000.00"
"Jan 11, 2007","1,292.85",99.54,--,"49,400,000.00"
"Jan 10, 2007","1,295.70",99.77,--,"49,400,000.00"
"Jan 09, 2007","1,297.16",99.87,--,"49,400,000.00"
"Jan 08, 2007","1,297.13",99.87,--,"49,400,000.00"
"Jan 05, 2007","1,297.32",99.88,--,"49,400,000.00"
"Jan 04, 2007","1,298.58",99.98,--,"49,400,000.00"
"Jan 03, 2007","1,295.49",99.76,--,"49,400,000.00"
"Dec 29, 2006","1,291.71",99.45,--,"49,400,000.00"
"Dec 28, 2006","1,291.76",99.47,--,"49,000,000.00"
"Dec 27, 2006","1,293.51",99.61,0.37,"49,000,000.00"
"Dec 26, 2006","1,296.21",100.18,--,"48,500,000.00"
"Dec 22, 2006","1,294.53",100.06,--,"48,500,000.00"
"Dec 21, 2006","1,298.37",100.34,--,"48,500,000.00"
"Dec 20, 2006","1,295.43",100.12,--,"48,500,000.00"
"Dec 19, 2006","1,295.05",100.09,--,"48,500,000.00"
"Dec 18, 2006","1,295.32",100.11,--,"48,500,000.00"
"Dec 15, 2006","1,294.75",100.06,--,"48,100,000.00"
"Dec 14, 2006","1,294.67",100.04,--,"47,200,000.00"
"Dec 13, 2006","1,295.76",100.13,--,"47,000,000.00"
"Dec 12, 2006","1,300.37",100.48,--,"47,000,000.00"
"Dec 11, 2006","1,298.05",100.32,--,"47,000,000.00"
"Dec 08, 2006","1,295.79",100.15,--,"46,800,000.00"
"Dec 07, 2006","1,299.72",100.44,--,"46,800,000.00"
"Dec 06, 2006","1,300.27",100.47,--,"46,800,000.00"
"Dec 05, 2006","1,302.49",100.63,--,"46,300,000.00"
"Dec 04, 2006","1,302.46",100.62,--,"46,300,000.00"
"Dec 01, 2006","1,301.88",100.58,0.40,"46,300,000.00"
"Nov 30, 2006","1,299.25",100.78,--,"46,300,000.00"
"Nov 29, 2006","1,295.43",100.49,--,"46,200,000.00"
"Nov 28, 2006","1,295.76",100.51,--,"45,900,000.00"
"Nov 27, 2006","1,293.98",100.38,--,"45,900,000.00"
"Nov 24, 2006","1,292.87",100.31,--,"45,700,000.00"
"Nov 22, 2006","1,291.52",100.20,--,"45,700,000.00"
"Nov 21, 2006","1,290.95",100.17,--,"45,700,000.00"
"Nov 20, 2006","1,289.97",100.09,--,"45,700,000.00"
"Nov 17, 2006","1,288.97",100.00,--,"45,700,000.00"
"Nov 16, 2006","1,285.20",99.73,--,"44,900,000.00"
"Nov 15, 2006","1,286.89",99.86,--,"44,900,000.00"
"Nov 14, 2006","1,289.42",100.05,--,"44,900,000.00"
"Nov 13, 2006","1,287.00",99.86,--,"44,900,000.00"
"Nov 10, 2006","1,287.73",99.92,--,"44,800,000.00"
"Nov 09, 2006","1,285.42",99.75,--,"44,600,000.00"
"Nov 08, 2006","1,285.10",99.71,--,"44,600,000.00"
"Nov 07, 2006","1,283.33",99.58,--,"44,600,000.00"
"Nov 06, 2006","1,280.21",99.34,--,"44,600,000.00"
"Nov 03, 2006","1,279.04",99.25,--,"44,600,000.00"
"Nov 02, 2006","1,285.63",99.75,--,"44,600,000.00"
"Nov 01, 2006","1,287.19",99.87,0.42,"44,600,000.00"
"Oct 31, 2006","1,284.35",100.07,--,"44,600,000.00"
"Oct 30, 2006","1,280.28",99.75,--,"44,600,000.00"
"Oct 27, 2006","1,279.63",99.70,--,"44,600,000.00"
"Oct 26, 2006","1,276.90",99.48,--,"44,600,000.00"
"Oct 25, 2006","1,273.27",99.20,--,"44,100,000.00"
"Oct 24, 2006","1,270.26",98.98,--,"44,100,000.00"
"Oct 23, 2006","1,270.07",98.96,--,"44,100,000.00"
"Oct 20, 2006","1,271.99",99.11,--,"44,100,000.00"
"Oct 19, 2006","1,271.65",99.08,--,"44,100,000.00"
"Oct 18, 2006","1,272.62",99.16,--,"43,900,000.00"
"Oct 17, 2006","1,271.69",99.09,--,"43,900,000.00"
"Oct 16, 2006","1,270.64",99.01,--,"43,900,000.00"
"Oct 13, 2006","1,268.65",98.86,--,"43,900,000.00"
"Oct 12, 2006","1,269.70",98.95,--,"43,900,000.00"
"Oct 11, 2006","1,268.87",98.89,--,"41,900,000.00"
"Oct 10, 2006","1,270.90",99.04,--,"41,600,000.00"
"Oct 09, 2006",--,99.29,--,"41,600,000.00"
"Oct 06, 2006","1,273.64",99.25,--,"41,600,000.00"
"Oct 05, 2006","1,278.76",99.62,--,"41,500,000.00"
"Oct 04, 2006","1,281.03",99.80,--,"41,500,000.00"
"Oct 03, 2006","1,277.76",99.56,--,"40,700,000.00"
"Oct 02, 2006","1,277.13",99.51,0.41,"40,400,000.00"
"Sep 29, 2006","1,275.91",99.82,--,"40,400,000.00"
"Sep 28, 2006","1,276.23",99.84,--,"40,400,000.00"
"Sep 27, 2006","1,277.59",99.95,--,"40,400,000.00"
"Sep 26, 2006","1,277.99",99.96,--,"40,200,000.00"
"Sep 25, 2006","1,279.40",100.08,--,"40,200,000.00"
"Sep 22, 2006","1,276.71",99.87,--,"39,700,000.00"
"Sep 21, 2006","1,274.04",99.67,--,"39,700,000.00"
"Sep 20, 2006","1,269.13",99.29,--,"39,700,000.00"
"Sep 19, 2006","1,268.56",99.25,--,"39,700,000.00"
"Sep 18, 2006","1,264.13",98.91,--,"39,500,000.00"
"Sep 15, 2006","1,264.42",98.94,--,"39,500,000.00"
"Sep 14, 2006","1,264.86",98.96,--,"39,500,000.00"
"Sep 13, 2006","1,266.33",99.09,--,"39,500,000.00"
"Sep 12, 2006","1,265.82",99.05,--,"39,500,000.00"
"Sep 11, 2006","1,264.10",98.90,--,"39,500,000.00"
"Sep 08, 2006","1,265.35",98.99,--,"39,500,000.00"
"Sep 07, 2006","1,263.81",98.87,--,"39,500,000.00"
"Sep 06, 2006","1,263.07",98.81,--,"39,500,000.00"
"Sep 05, 2006","1,263.96",98.88,--,"39,500,000.00"
"Sep 01, 2006","1,265.66",99.01,0.39,"39,500,000.00"
"Aug 31, 2006","1,264.80",99.33,--,"39,500,000.00"
"Aug 30, 2006","1,262.60",99.18,--,"39,500,000.00"
"Aug 29, 2006","1,261.30",99.09,--,"39,500,000.00"
"Aug 28, 2006","1,260.64",99.02,--,"39,500,000.00"
"Aug 25, 2006","1,260.64",99.04,--,"39,500,000.00"
"Aug 24, 2006","1,259.70",98.95,--,"39,000,000.00"
"Aug 23, 2006","1,259.22",98.92,--,"39,000,000.00"
"Aug 22, 2006","1,259.46",98.94,--,"39,000,000.00"
"Aug 21, 2006","1,259.04",98.90,--,"39,000,000.00"
"Aug 18, 2006","1,257.84",98.82,--,"39,000,000.00"
"Aug 17, 2006","1,255.83",98.67,--,"39,000,000.00"
"Aug 16, 2006","1,255.75",98.65,--,"38,600,000.00"
"Aug 15, 2006","1,251.74",98.34,--,"38,600,000.00"
"Aug 14, 2006","1,247.08",97.99,--,"38,600,000.00"
"Aug 11, 2006","1,248.71",98.11,--,"38,600,000.00"
"Aug 10, 2006","1,250.83",98.26,--,"38,600,000.00"
"Aug 09, 2006","1,251.16",98.28,--,"38,100,000.00"
"Aug 08, 2006","1,251.29",98.29,--,"38,100,000.00"
"Aug 07, 2006","1,250.65",98.25,--,"38,000,000.00"
"Aug 04, 2006","1,251.60",98.32,--,"38,000,000.00"
"Aug 03, 2006","1,248.03",98.05,--,"37,800,000.00"
"Aug 02, 2006","1,247.75",98.02,--,"37,800,000.00"
"Aug 01, 2006","1,246.41",97.91,0.41,"37,800,000.00"
"Jul 31, 2006","1,245.73",98.29,--,"37,800,000.00"
"Jul 28, 2006","1,244.87",98.22,--,"37,800,000.00"
"Jul 27, 2006","1,240.87",97.90,--,"37,800,000.00"
"Jul 26, 2006","1,240.54",97.87,--,"37,800,000.00"
"Jul 25, 2006","1,238.25",97.70,--,"37,800,000.00"
"Jul 24, 2006","1,239.37",97.81,--,"37,800,000.00"
"Jul 21, 2006","1,238.76",97.76,--,"37,800,000.00"
"Jul 20, 2006","1,239.47",97.80,--,"37,800,000.00"
"Jul 19, 2006","1,236.98",97.61,--,"37,800,000.00"
"Jul 18, 2006","1,232.04",97.22,--,"37,800,000.00"
"Jul 17, 2006","1,235.44",97.49,--,"37,300,000.00"
"Jul 14, 2006","1,235.44",97.49,--,"37,300,000.00"
"Jul 13, 2006","1,234.72",97.46,--,"37,300,000.00"
"Jul 12, 2006","1,233.15",97.32,--,"37,300,000.00"
"Jul 11, 2006","1,232.98",97.30,--,"37,300,000.00"
"Jul 10, 2006","1,231.38",97.18,--,"37,200,000.00"
"Jul 07, 2006","1,230.69",97.13,--,"37,200,000.00"
"Jul 06, 2006","1,227.23",96.85,--,"37,200,000.00"
"Jul 05, 2006","1,224.76",96.66,--,"37,200,000.00"
"Jul 03, 2006","1,228.93",97.00,0.39,"37,200,000.00"
"Jun 30, 2006","1,229.11",97.40,--,"37,200,000.00"
"Jun 29, 2006","1,225.07",97.06,--,"37,200,000.00"
"Jun 28, 2006","1,221.76",96.80,--,"37,200,000.00"
"Jun 27, 2006","1,223.59",96.93,--,"37,200,000.00"
"Jun 26, 2006","1,221.50",96.79,--,"37,200,000.00"
"Jun 23, 2006","1,221.68",96.82,--,"37,200,000.00"
"Jun 22, 2006","1,223.63",96.96,--,"37,200,000.00"
"Jun 21, 2006","1,226.17",97.16,--,"37,200,000.00"
"Jun 20, 2006","1,226.16",97.18,--,"36,700,000.00"
"Jun 19, 2006","1,226.91",97.23,--,"36,700,000.00"
"Jun 16, 2006","1,227.38",97.25,--,"36,700,000.00"
"Jun 15, 2006","1,228.82",97.38,--,"36,700,000.00"
"Jun 14, 2006","1,231.57",97.59,--,"36,200,000.00"
"Jun 13, 2006","1,236.75",98.03,--,"36,200,000.00"
"Jun 12, 2006","1,235.39",97.92,--,"36,200,000.00"
"Jun 09, 2006","1,235.35",97.89,--,"36,200,000.00"
"Jun 08, 2006","1,234.71",97.84,--,"36,000,000.00"
"Jun 07, 2006","1,232.86",97.71,--,"36,000,000.00"
"Jun 06, 2006","1,234.13",97.80,--,"36,000,000.00"
"Jun 05, 2006","1,233.49",97.74,--,"36,000,000.00"
"Jun 02, 2006","1,234.79",97.86,--,"36,000,000.00"
"Jun 01, 2006","1,227.28",97.27,0.38,"35,500,000.00"
"May 31, 2006","1,226.51",97.59,--,"35,500,000.00"
"May 30, 2006","1,228.57",97.76,--,"35,500,000.00"
"May 26, 2006","1,230.01",97.87,--,"35,500,000.00"
"May 25, 2006","1,228.48",97.74,--,"35,500,000.00"
"May 24, 2006","1,230.26",97.91,--,"35,500,000.00"
"May 23, 2006","1,228.87",97.78,--,"35,500,000.00"
"May 22, 2006","1,230.14",97.89,--,"35,000,000.00"
"May 19, 2006","1,229.14",97.81,--,"35,000,000.00"
"May 18, 2006","1,228.54",97.77,--,"34,800,000.00"
"May 17, 2006","1,224.25",97.43,--,"34,800,000.00"
"May 16, 2006","1,226.89",97.64,--,"34,300,000.00"
"May 15, 2006","1,223.91",97.41,--,"34,300,000.00"
"May 12, 2006","1,221.72",97.24,--,"34,300,000.00"
"May 11, 2006","1,224.51",97.47,--,"34,300,000.00"
"May 10, 2006","1,225.75",97.56,--,"34,300,000.00"
"May 09, 2006","1,225.79",97.56,--,"34,300,000.00"
"May 08, 2006","1,225.90",97.57,--,"34,300,000.00"
"May 05, 2006","1,225.96",97.59,--,"34,300,000.00"
"May 04, 2006","1,223.33",97.38,--,"34,300,000.00"
"May 03, 2006","1,223.45",97.40,--,"34,300,000.00"
"May 02, 2006","1,225.38",97.55,--,"34,300,000.00"
"May 01, 2006","1,224.37",97.44,0.37,"34,300,000.00"
"Apr 28, 2006","1,227.82",98.09,--,"34,300,000.00"
"Apr 27, 2006","1,225.67",97.96,--,"34,300,000.00"
"Apr 26, 2006","1,223.38",97.76,--,"34,300,000.00"
"Apr 25, 2006","1,225.24",97.92,--,"34,300,000.00"
"Apr 24, 2006","1,229.55",98.26,--,"34,300,000.00"
"Apr 21, 2006","1,227.39",98.09,--,"34,300,000.00"
"Apr 20, 2006","1,225.75",97.97,--,"34,300,000.00"
"Apr 19, 2006","1,226.21",98.00,--,"34,300,000.00"
"Apr 18, 2006","1,228.32",98.17,--,"34,300,000.00"
"Apr 17, 2006","1,225.42",97.95,--,"34,300,000.00"
"Apr 13, 2006","1,222.79",97.73,--,"34,100,000.00"
"Apr 12, 2006","1,225.93",97.98,--,"33,600,000.00"
"Apr 11, 2006","1,228.08",98.16,--,"33,600,000.00"
"Apr 10, 2006","1,226.18",98.02,--,"33,600,000.00"
"Apr 07, 2006","1,225.88",97.98,--,"33,600,000.00"
"Apr 06, 2006","1,229.66",98.28,--,"33,600,000.00"
"Apr 05, 2006","1,232.19",98.48,--,"33,600,000.00"
"Apr 04, 2006","1,230.00",98.32,--,"33,100,000.00"
"Apr 03, 2006","1,229.27",98.23,0.38,"33,100,000.00"
"Mar 31, 2006","1,230.05",98.70,--,"33,100,000.00"
"Mar 30, 2006","1,229.61",98.67,--,"33,100,000.00"
"Mar 29, 2006","1,232.10",98.88,--,"32,600,000.00"
"Mar 28, 2006","1,233.84",99.01,--,"32,600,000.00"
"Mar 27, 2006","1,238.09",99.35,--,"32,600,000.00"
"Mar 24, 2006","1,239.02",99.44,--,"32,600,000.00"
"Mar 23, 2006","1,235.26",99.12,--,"32,600,000.00"
"Mar 22, 2006","1,236.91",99.25,--,"32,600,000.00"
"Mar 21, 2006","1,236.02",99.19,--,"32,600,000.00"
"Mar 20, 2006","1,239.66",99.49,--,"32,600,000.00"
"Mar 17, 2006","1,238.16",99.38,--,"32,600,000.00"
"Mar 16, 2006","1,239.54",99.49,--,"32,600,000.00"
"Mar 15, 2006","1,234.59",99.10,--,"32,100,000.00"
"Mar 14, 2006","1,236.24",99.23,--,"32,100,000.00"
"Mar 13, 2006","1,231.18",98.83,--,"32,100,000.00"
"Mar 10, 2006","1,231.91",98.89,--,"32,100,000.00"
"Mar 09, 2006","1,233.05",98.96,--,"32,100,000.00"
"Mar 08, 2006","1,232.28",98.90,--,"31,900,000.00"
"Mar 07, 2006","1,232.01",98.88,--,"31,900,000.00"
"Mar 06, 2006","1,231.96",98.88,--,"31,900,000.00"
"Mar 03, 2006","1,234.68",99.10,--,"31,900,000.00"
"Mar 02, 2006","1,236.83",99.29,--,"31,400,000.00"
"Mar 01, 2006","1,239.76",99.51,0.37,"31,400,000.00"
"Feb 28, 2006","1,242.24",100.08,--,"31,400,000.00"
"Feb 27, 2006","1,239.48",99.87,--,"31,400,000.00"
"Feb 24, 2006","1,240.05",99.90,--,"31,400,000.00"
"Feb 23, 2006","1,239.51",99.86,--,"31,400,000.00"
