symbol,date,nav,shares
FXE,2010-11-05,139.53207397460938,0.0
FXE,2010-11-08,138.37452697753906,0.0
FXE,2010-11-09,136.9775390625,0.0
FXE,2010-11-10,136.94760131835938,0.0
FXE,2010-11-11,135.78009033203125,0.0
FXE,2010-11-12,136.10935974121094,0.0
FXE,2010-11-15,134.89195251464844,0.0
FXE,2010-11-16,134.063720703125,0.0
FXE,2010-11-17,134.36309814453125,0.0
FXE,2010-11-18,135.49069213867188,0.0
FXE,2010-11-19,136.0694580078125,0.0
FXE,2010-11-22,135.4208221435547,0.0
FXE,2010-11-23,132.9461212158203,0.0
FXE,2010-11-24,132.47714233398438,0.0
FXE,2010-11-26,131.6987762451172,0.0
FXE,2010-11-29,130.4514617919922,0.0
FXE,2010-11-30,129.0244903564453,0.0
FXE,2010-12-01,130.59115600585938,0.0
FXE,2010-12-02,131.4892578125,0.0
FXE,2010-12-03,133.29537963867188,0.0
FXE,2010-12-06,132.3573760986328,0.0
FXE,2010-12-07,131.94825744628906,0.0
FXE,2010-12-08,131.84848022460938,0.0
FXE,2010-12-09,131.61895751953125,0.0
FXE,2010-12-10,131.50917053222656,0.0
FXE,2010-12-13,133.13571166992188,0.0
FXE,2010-12-14,133.01597595214844,0.0
FXE,2010-12-15,131.40940856933594,0.0
FXE,2010-12-16,131.59901428222656,0.0
FXE,2010-12-17,131.08009338378906,0.0
FXE,2010-12-20,130.4514617919922,0.0
FXE,2010-12-21,130.16209411621094,0.0
FXE,2010-12-22,130.19200134277344,0.0
FXE,2010-12-23,130.3916015625,0.0
FXE,2010-12-27,130.80068969726562,0.0
FXE,2010-12-28,130.3916015625,0.0
FXE,2010-12-29,131.4293670654297,0.0
FXE,2010-12-30,132.06800842285156,0.0
FXE,2010-12-31,132.80642700195312,0.0
FXE,2011-01-03,132.6866912841797,0.0
FXE,2011-01-04,132.1677703857422,0.0
FXE,2011-01-05,130.76077270507812,0.0
FXE,2011-01-06,129.36376953125,0.0
FXE,2011-01-07,128.31602478027344,0.0
FXE,2011-01-10,128.76502990722656,0.0
FXE,2011-01-11,129.00454711914062,0.0
FXE,2011-01-12,130.50137329101562,0.0
FXE,2011-01-13,132.67672729492188,0.0
FXE,2011-01-14,132.91619873046875,0.0
FXE,2011-01-18,133.00601196289062,0.0
FXE,2011-01-19,133.88412475585938,0.0
FXE,2011-01-20,133.92404174804688,0.0
FXE,2011-01-21,135.3410186767578,0.0
FXE,2011-01-24,135.63038635253906,0.0
FXE,2011-01-25,135.98963928222656,0.0
FXE,2011-01-26,136.05947875976562,0.0
FXE,2011-01-27,136.56837463378906,0.0
FXE,2011-01-28,135.2811279296875,0.0
FXE,2011-01-31,136.0894317626953,0.0
FXE,2011-02-01,137.48643493652344,0.0
FXE,2011-02-02,137.25694274902344,0.0
FXE,2011-02-03,135.51065063476562,0.0
FXE,2011-02-04,135.07162475585938,0.0
FXE,2011-02-07,135.0516357421875,0.0
FXE,2011-02-08,135.51065063476562,0.0
FXE,2011-02-09,136.49855041503906,0.0
FXE,2011-02-10,135.14141845703125,0.0
FXE,2011-02-11,134.6824188232422,0.0
FXE,2011-02-14,134.0537567138672,0.0
FXE,2011-02-15,134.00389099121094,0.0
FXE,2011-02-16,134.8820037841797,0.0
FXE,2011-02-17,135.24122619628906,0.0
FXE,2011-02-18,136.02955627441406,0.0
FXE,2011-02-22,135.6902618408203,0.0
FXE,2011-02-23,136.6182861328125,0.0
FXE,2011-02-24,137.1770782470703,0.0
FXE,2011-02-25,136.68812561035156,0.0
FXE,2011-02-28,137.13719177246094,0.0
FXE,2011-03-01,136.86874389648438,0.0
FXE,2011-03-02,137.7967529296875,0.0
FXE,2011-03-03,138.7447509765625,0.0
FXE,2011-03-04,138.98426818847656,0.0
FXE,2011-03-07,138.8844451904297,0.0
FXE,2011-03-08,138.12606811523438,0.0
FXE,2011-03-09,138.1759796142578,0.0
FXE,2011-03-10,137.03839111328125,0.0
FXE,2011-03-11,138.1759796142578,0.0
FXE,2011-03-14,139.14393615722656,0.0
FXE,2011-03-15,139.1139678955078,0.0
FXE,2011-03-16,138.02630615234375,0.0
FXE,2011-03-17,139.33351135253906,0.0
FXE,2011-03-18,140.84030151367188,0.0
FXE,2011-03-21,141.3392333984375,0.0
FXE,2011-03-22,141.0997314453125,0.0
FXE,2011-03-23,140.1617431640625,0.0
FXE,2011-03-24,140.830322265625,0.0
FXE,2011-03-25,139.87234497070312,0.0
FXE,2011-03-28,140.06198120117188,0.0
FXE,2011-03-29,140.19168090820312,0.0
FXE,2011-03-30,140.39126586914062,0.0
FXE,2011-03-31,140.86024475097656,0.0
FXE,2011-04-01,141.3592071533203,0.0
FXE,2011-04-04,141.3292694091797,0.0
FXE,2011-04-05,141.36917114257812,0.0
FXE,2011-04-06,142.43690490722656,0.0
FXE,2011-04-07,142.16748046875,0.0
FXE,2011-04-08,143.6942138671875,0.0
FXE,2011-04-11,143.40484619140625,0.0
FXE,2011-04-12,143.89381408691406,0.0
FXE,2011-04-13,143.58444213867188,0.0
FXE,2011-04-14,144.0833740234375,0.0
FXE,2011-04-15,143.38490295410156,0.0
FXE,2011-04-18,141.458984375,0.0
FXE,2011-04-19,142.4468994140625,0.0
FXE,2011-04-20,144.26303100585938,0.0
FXE,2011-04-21,144.70205688476562,0.0
FXE,2011-04-25,144.96153259277344,0.0
FXE,2011-04-26,145.55029296875,0.0
FXE,2011-04-27,147.0969696044922,0.0
FXE,2011-04-28,147.33648681640625,0.0
FXE,2011-04-29,147.22669982910156,0.0
FXE,2011-05-02,147.46726989746094,0.0
FXE,2011-05-03,147.46726989746094,0.0
FXE,2011-05-04,147.44728088378906,0.0
FXE,2011-05-05,144.4228973388672,0.0
FXE,2011-05-06,142.73599243164062,0.0
FXE,2011-05-09,142.6860809326172,0.0
FXE,2011-05-10,143.17518615722656,0.0
FXE,2011-05-11,141.2288055419922,0.0
FXE,2011-05-12,141.57814025878906,0.0
FXE,2011-05-13,140.26058959960938,0.0
FXE,2011-05-16,140.99923706054688,0.0
FXE,2011-05-17,141.4284210205078,0.0
FXE,2011-05-18,141.588134765625,0.0
FXE,2011-05-19,142.2968292236328,0.0
FXE,2011-05-20,140.76966857910156,0.0
FXE,2011-05-23,139.68167114257812,0.0
FXE,2011-05-24,140.28054809570312,0.0
FXE,2011-05-25,140.0709228515625,0.0
FXE,2011-05-26,140.58998107910156,0.0
FXE,2011-05-27,142.08721923828125,0.0
FXE,2011-05-31,143.11534118652344,0.0
FXE,2011-06-01,142.59112548828125,0.0
FXE,2011-06-02,144.11874389648438,0.0
FXE,2011-06-03,145.51663208007812,0.0
FXE,2011-06-06,144.82769775390625,0.0
FXE,2011-06-07,146.01585388183594,0.0
FXE,2011-06-08,144.91754150390625,0.0
FXE,2011-06-09,144.30848693847656,0.0
FXE,2011-06-10,142.57113647460938,0.0
FXE,2011-06-13,143.34996032714844,0.0
FXE,2011-06-14,143.6994171142578,0.0
FXE,2011-06-15,140.9436492919922,0.0
FXE,2011-06-16,141.06346130371094,0.0
FXE,2011-06-17,142.321533203125,0.0
FXE,2011-06-20,142.2516326904297,0.0
FXE,2011-06-21,143.2900390625,0.0
FXE,2011-06-22,142.82077026367188,0.0
FXE,2011-06-23,141.88221740722656,0.0
FXE,2011-06-24,141.10340881347656,0.0
